user_id,movie_id,ratings,time_stamp
0,0,2.5,1260759144
0,1,3,1260759179
0,2,3,1260759182
0,3,2,1260759185
0,5,2,1260759151
0,6,2,1260759187
0,7,2,1260759148
0,8,3.5,1260759125
0,10,2.5,1260759135
0,11,1,1260759203
0,12,4,1260759191
0,14,3,1260759194
0,15,2,1260759198
0,18,1,1260759200
0,19,3,1260759117
1,20,4,835355493
1,22,5,835355604
1,23,4,835355552
1,24,4,835355586
1,25,3,835356031
1,26,3,835355749
1,27,4,835355532
1,28,3,835356016
1,29,5,835355395
1,31,3,835355493
1,32,3,835355441
1,33,3,835355710
1,34,3,835355511
1,35,3,835355664
1,36,3,835355511
1,37,5,835355840
1,38,1,835355749
1,39,3,835355552
1,40,3,835355664
1,41,3,835355896
1,42,4,835355511
1,43,4,835355681
1,46,3,835355767
1,47,4,835355779
1,48,3,835355492
1,50,3,835355532
1,51,4,835356044
1,52,2,835355551
1,53,1,835355918
1,54,3,835355492
1,55,4,835355441
1,56,4,835355697
1,57,3,835355628
1,58,3,835355749
1,59,3,835355604
1,60,3,835355619
1,61,2,835355932
1,62,3,835355968
1,64,3,835355710
1,65,3,835356165
1,67,3,835355532
1,68,4,835355604
1,69,3,835355511
1,71,2,835355828
1,73,3,835355918
1,74,3,835355880
1,76,4,835355860
1,77,4,835355719
1,78,4,835355817
1,79,4,835355731
1,81,3,835355767
1,82,3,835356109
1,83,5,835355767
1,84,3,835355860
1,85,5,835355817
1,87,3,835355779
1,88,3,835355441
1,90,5,835355395
1,92,3,835355511
1,94,4,835356141
1,95,4,835355978
2,27,4,1298922049
2,97,3.5,1298861637
2,98,3,1298861761
2,99,5,1298862121
2,100,2.5,1298861589
2,57,5,1298862167
2,64,2.5,1298923242
2,79,3,1298862528
2,88,3,1298922100
2,91,3,1298923247
2,92,3,1298921840
2,102,3.5,1298932787
2,103,4,1298863157
2,104,3,1298861687
2,106,3,1298921795
2,107,4,1298861628
2,108,3,1298861605
2,109,4,1298861658
2,110,3.5,1298922089
2,111,4.5,1298923236
2,112,4,1298863143
2,114,4,1298861753
2,115,3,1298861789
2,116,3,1298862710
2,117,3.5,1298861796
2,118,3,1298924017
